TEXTUREID,ANIMAIONID,REPEAT(0: true, 1: false),,,,
AwakenRayanna,awakenRush,0,,,,,
,,,,,,,
,117,63,0,0,117,63,0.1
,117,63,117,0,117,63,0.1
,117,63,234,0,117,63,0.1
,117,63,351,0,117,63,0.1
,117,63,468,0,117,63,0.1
,117,63,585,0,117,63,0.1
,117,63,702,0,117,63,0.1
,117,63,819,0,117,63,0.1
,117,63,936,0,117,63,0.1
,117,63,1053,0,117,63,0.1
,117,63,1170,0,117,63,0.1
,117,63,1287,0,117,63,0.1
,117,63,1404,0,117,63,0.1
,117,63,1521,0,117,63,0.1
,117,63,1638,0,117,63,0.1
,117,63,1755,0,117,63,0.1
,117,63,1872,0,117,63,0.1
,117,63,1989,0,117,63,0.1
,117,63,2106,0,117,63,0.1
,117,63,2223,0,117,63,0.1
