TEXTUREID,ANIMAIONID,REPEAT(0: true, 1: false),,,,
RayannaB,awaken,0,,,,,
,,,,,,,
,67,51,0,0,67,51,0.1
,67,51,66,0,67,51,0.1
,67,51,132,0,67,51,0.1
,67,51,198,0,67,51,0.1
,67,51,264,0,67,51,0.1
,67,51,330,0,67,51,0.1
,67,51,396,0,67,51,0.1
,67,51,462,0,67,51,0.1
,67,51,528,0,67,51,0.1
,67,51,594,0,67,51,0.1
,67,51,660,0,67,51,0.1
,67,51,726,0,67,51,0.1
,67,51,792,0,67,51,0.1
,67,51,858,0,67,51,0.1
,67,51,924,0,67,51,0.1
,67,51,990,0,67,51,0.1
,67,51,1056,0,67,51,0.1
,67,51,1122,0,67,51,0.1
,67,51,1188,0,67,51,0.1
,67,51,1254,0,67,51,0.1
,67,51,1320,0,67,51,0.1
,67,51,1386,0,67,51,0.1
,67,51,1452,0,67,51,0.1
,67,51,1518,0,67,51,0.1
,67,51,1584,0,67,51,0.1
,67,51,1650,0,67,51,0.1
,67,51,1716,0,67,51,0.1
,67,51,1782,0,67,51,0.1
,67,51,1848,0,67,51,0.1
,67,51,1914,0,67,51,0.1
,67,51,1980,0,67,51,0.1
,67,51,2046,0,67,51,0.1
,67,51,2112,0,67,51,0.1
,67,51,2178,0,67,51,0.1
,67,51,2244,0,67,51,0.1
