TEXTUREID,ANIMAIONID,REPEAT(0: true, 1: false),,,,
Little Bone,littleboneRestart,0,,,,,
,,,,,,,
,128,128,3438,150,128,128,0.1
,128,128,3638,150,128,128,0.1
,128,128,3838,150,128,128,0.1
,128,128,38,300,128,128,0.1
,128,128,238,300,128,128,0.1
,128,128,438,300,128,128,0.1
,128,128,638,300,128,128,0.1
,128,128,838,300,128,128,0.1
,128,128,1038,300,128,128,0.1
,128,128,1238,300,128,128,0.1
,128,128,1438,300,128,128,0.1
,128,128,1638,300,128,128,0.1
,128,128,1838,300,128,128,0.1
,128,128,2038,300,128,128,0.1
,128,128,2238,300,128,128,0.1
,128,128,2438,300,128,128,0.1
,128,128,2638,300,128,128,0.1
,128,128,2838,300,128,128,0.1
,128,128,3038,300,128,128,0.1
,128,128,3238,300,128,128,0.1
,128,128,3438,300,128,128,0.1
,128,128,3638,300,128,128,0.1
,128,128,3838,300,128,128,0.1
,128,128,38,450,128,128,0.1
,128,128,238,450,128,128,0.1
,128,128,438,450,128,128,0.1
