ANIMATIONCSVPATH,ANIMAIONID
,
animations/marioIdle.csv,marioIdle
animations/marioHit.csv,marioHit
animations/marioRun.csv,marioRun
animations/marioJump.csv,marioJump
animations/marioDead.csv,marioDead
animations/marioGrap.csv,marioGrap
animations/marioBreak.csv,marioBreak
animations/marioSmallIdle.csv,marioSmallIdle
animations/marioSmallRun.csv,marioSmallRun
animations/marioSmallBreak.csv,marioSmallBreak
animations/marioSmallJump.csv,marioSmallJump
animations/marioSmallGrap.csv,marioSmallGrap
animations/marioUpgrade.csv,marioUpgrade
animations/marioFireUpgrade.csv,marioFireUpgrade
animations/marioFireBreak.csv,marioFireBreak
animations/marioFireDown.csv,marioFireDown
animations/marioFireGrap.csv,marioFireGrap
animations/marioFireIdle.csv,marioFireIdle
animations/marioFireItemGrap.csv,marioFireItemGrap
animations/marioFireJump.csv,marioFireJump
animations/marioFireRun.csv,marioFireRun
animations/marioFireIdleAttack.csv,marioFireIdleAttack
animations/marioFireRunAttack.csv,marioFireRunAttack
animations/marioFireJumpAttack.csv,marioFireJumpAttack
animations/marioDown.csv,marioDown
animations/marioFireDown.csv,marioFireDown
