ANIMATIONCSVPATH,ANIMAIONID
,
animations/Enemy/Rayanna/awaken.csv,awaken
animations/Enemy/Rayanna/awakenjump.csv,awakenjump
animations/Enemy/Rayanna/awakenReady.csv,awakenReady
animations/Enemy/Rayanna/backstep.csv,backstep
animations/Enemy/Rayanna/dash.csv,dash
animations/Enemy/Rayanna/dimensionPierce.csv,dimensionPierce
animations/Enemy/Rayanna/dimensionPierceAttack.csv,dimensionPierceAttack
animations/Enemy/Rayanna/goldMeteorAttack.csv,goldMeteorAttack
animations/Enemy/Rayanna/goldmeteorEnd.csv,goldmeteorEnd
animations/Enemy/Rayanna/goldmeteorJump.csv,goldmeteorJump
animations/Enemy/Rayanna/goldmetorLanding.csv,goldmetorLanding
animations/Enemy/Rayanna/goldmetorReady.csv,goldmetorReady
animations/Enemy/Rayanna/homingPierce.csv,homingPierce
animations/Enemy/Rayanna/homingpierceEnd.csv,homingpierceEnd
animations/Enemy/Rayanna/homingpierceReady.csv,homingpierceReady
animations/Enemy/Rayanna/meteorAttack.csv,meteorAttack
animations/Enemy/Rayanna/meteorEnd.csv,meteorEnd
animations/Enemy/Rayanna/meteorGround2Ready.csv,meteorGround2Ready
animations/Enemy/Rayanna/meteorGroundLanding.csv,meteorGroundLanding
animations/Enemy/Rayanna/meteorGroundReady.csv,meteorGroundReady
animations/Enemy/Rayanna/meteorJump.csv,meteorJump
animations/Enemy/Rayanna/meteorLanding.csv,meteorLanding
animations/Enemy/Rayanna/meteorReady.csv,meteorReady
animations/Enemy/Rayanna/idle.csv,idle
animations/Enemy/Rayanna/risingPierce.csv,risingPierce
animations/Enemy/Rayanna/risingPierceEnd.csv,risingPierceEnd
animations/Enemy/Rayanna/risingPierceReady.csv,risingPierceReady
animations/Enemy/Rayanna/rushA.csv,rushA
animations/Enemy/Rayanna/rushB.csv,rushB
animations/Enemy/Rayanna/rushC.csv,rushC
animations/Enemy/Rayanna/rushEnd.csv,rushEnd
animations/Enemy/Rayanna/rushReady.csv,rushReady
animations/Enemy/Rayanna/twinMeteorAttack.csv,twinMeteorAttack
